,address,country,detailedType.subTypology,detailedType.typology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,showAddress,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
401,"calle del bruc, 103",es,,garage,1316,Eixample,False,PLAZA 35 SOTANO B,,False,False,False,False,False,41.3959712,2.1671369,Barcelona,La Dreta de l'Eixample,False,,8,rent,158.0,,38683462,garage,Barcelona,True,"La Dreta de l'Eixample, Barcelona","Garaje en calle del bruc, 103",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/06/c2/e5/584977342.jpg,https://www.idealista.com/inmueble/38683462/
402,"calle del bruc, 103",es,,garage,1316,Eixample,False,PLAZA BICI 6 SOTANO A,,False,False,False,False,False,41.3959712,2.1671369,Barcelona,La Dreta de l'Eixample,False,,8,rent,14.0,,38683501,garage,Barcelona,True,"La Dreta de l'Eixample, Barcelona","Garaje en calle del bruc, 103",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a6/7d/d3/584977278.jpg,https://www.idealista.com/inmueble/38683501/
403,"calle del bruc, 103",es,,garage,1316,Eixample,False,PLAZA MOTO 11 SOTANO A,,False,False,False,False,False,41.3959712,2.1671369,Barcelona,La Dreta de l'Eixample,False,,8,rent,60.0,,38683527,garage,Barcelona,True,"La Dreta de l'Eixample, Barcelona","Garaje en calle del bruc, 103",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e5/f0/1b/584977393.jpg,https://www.idealista.com/inmueble/38683527/
404,"calle del bruc, 103",es,,garage,1316,Eixample,False,PLAZA MOTO 10 SOTANO A,,False,False,False,False,False,41.3959712,2.1671369,Barcelona,La Dreta de l'Eixample,False,,8,rent,60.0,,38683525,garage,Barcelona,True,"La Dreta de l'Eixample, Barcelona","Garaje en calle del bruc, 103",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/69/0f/09/584977385.jpg,https://www.idealista.com/inmueble/38683525/
405,"calle d'esteve terradas, 17",es,,garage,4062,Gràcia,False,PLAZA 65 Y TRAST 13 SOTANO E,,False,False,False,False,False,41.4128652,2.141742,Barcelona,Vallcarca i els Penitents,False,,7,rent,113.0,,38684162,garage,Barcelona,True,"Vallcarca i els Penitents, Barcelona","Garaje en calle d'esteve terradas, 17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/85/c3/57/584977749.jpg,https://www.idealista.com/inmueble/38684162/
406,"calle d'esteve terradas, 17",es,,garage,4062,Gràcia,False,PLAZA 65 Y TRAST 13 SOTANO D,,False,False,False,False,False,41.4128652,2.141742,Barcelona,Vallcarca i els Penitents,False,,7,rent,113.0,,38684218,garage,Barcelona,True,"Vallcarca i els Penitents, Barcelona","Garaje en calle d'esteve terradas, 17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/52/a5/f6/584977698.jpg,https://www.idealista.com/inmueble/38684218/
407,"calle d'esteve terradas, 17",es,,garage,4062,Gràcia,False,PLAZA 64 Y TRAST 12 SOTANO D,,False,False,False,False,False,41.4128652,2.141742,Barcelona,Vallcarca i els Penitents,False,,7,rent,113.0,,38684217,garage,Barcelona,True,"Vallcarca i els Penitents, Barcelona","Garaje en calle d'esteve terradas, 17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/47/19/53/584977727.jpg,https://www.idealista.com/inmueble/38684217/
408,"calle d'esteve terradas, 17",es,,garage,4062,Gràcia,False,PLAZA 67 Y TRAST 15 SOTANO D,,False,False,False,False,False,41.4128652,2.141742,Barcelona,Vallcarca i els Penitents,False,,7,rent,113.0,,38684219,garage,Barcelona,True,"Vallcarca i els Penitents, Barcelona","Garaje en calle d'esteve terradas, 17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/98/28/d7/584977742.jpg,https://www.idealista.com/inmueble/38684219/
409,"calle d'esteve terradas, 17",es,,garage,4062,Gràcia,False,PLAZA MOTO 4 SOTANO F,,False,False,False,False,False,41.4128652,2.141742,Barcelona,Vallcarca i els Penitents,False,,7,rent,25.0,,38684226,garage,Barcelona,True,"Vallcarca i els Penitents, Barcelona","Garaje en calle d'esteve terradas, 17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/2f/d8/584977649.jpg,https://www.idealista.com/inmueble/38684226/
410,"calle d'esteve terradas, 17",es,,garage,4062,Gràcia,False,PLAZA MOTO 3 SOTANO F,,False,False,False,False,False,41.4128652,2.141742,Barcelona,Vallcarca i els Penitents,False,,7,rent,25.0,,38684225,garage,Barcelona,True,"Vallcarca i els Penitents, Barcelona","Garaje en calle d'esteve terradas, 17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/bb/93/584977684.jpg,https://www.idealista.com/inmueble/38684225/
