,address,country,detailedType.subTypology,detailedType.typology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,showAddress,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url,features
2084,"calle del Pintor Fortuny, 23",es,carAndMotorcycle,garage,430,Ciutat Vella,False,,,False,False,False,False,False,41.382659,2.1693908,Barcelona,El Raval,False,,5,rent,130.0,,28654750,garage,Barcelona,True,"El Raval, Barcelona","Garaje en calle del Pintor Fortuny, 23",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7a/be/81/590262330.jpg,https://www.idealista.com/inmueble/28654750/,"['Plaza para coche y moto', 'Cubierta', ' Puerta automática de garaje ']"
2085,"torrent de Can Mariner, 15",es,motorcycle,garage,5257,Horta Guinardó,False,,,False,False,False,False,False,41.4317124,2.162808,Barcelona,Horta,False,,5,rent,25.0,8.0,39816542,garage,Barcelona,True,"Horta, Barcelona","Garaje en torrent de Can Mariner, 15",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/60/15/cf/588531960.jpg,https://www.idealista.com/inmueble/39816542/,"['Plaza para moto', '3 m²', 'Cubierta', ' Puerta automática de garaje ']"
2086,"carretera Reial, 102",es,sedanCar,garage,8676,,False,,,False,False,False,False,False,41.3794789,2.0696687,Sant Just Desvern,,False,,4,rent,50.0,3.0,81911624,garage,Barcelona,True,Sant Just Desvern,"Garaje en carretera Reial, 102",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/5f/93/587531629.jpg,https://www.idealista.com/inmueble/81911624/,"['Plaza para coche grande', '17 m²', 'Cubierta', ' Puerta automática de garaje ', ' Alarma ']"
2087,"calle de Teodora Lamadrid, 57",es,sedanCar,garage,4087,Sarrià-Sant Gervasi,False,,,False,False,True,False,False,41.4079092,2.134971,Barcelona,Sant Gervasi - La Bonanova,False,,3,rent,125.0,8.0,37958113,garage,Barcelona,True,"Sant Gervasi - La Bonanova, Barcelona","Garaje en calle de Teodora Lamadrid, 57",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/56/ff/227906881.jpg,https://www.idealista.com/inmueble/37958113/,[]
2088,barrio La Torrasa,es,twoCars,garage,4561,La Torrasa,False,45718,,False,False,False,False,False,41.3729227,2.1211965,Hospitalet de Llobregat,La Torrasa,False,,4,rent,100.0,,81805287,garage,Barcelona,False,"La Torrasa, Hospitalet de Llobregat",Garaje,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/e6/cb/586680173.jpg,https://www.idealista.com/inmueble/81805287/,"['Plaza para 2 coches o más', ' Puerta automática de garaje ']"
2089,"calle d'En Garriga, 63",es,motorcycle,garage,8388,Gorg - Pep Ventura,False,,,False,False,False,False,False,41.4414963,2.2402145,Badalona,,False,,3,rent,50.0,1.0,81737915,garage,Barcelona,True,"Gorg - Pep Ventura, Badalona","Garaje en calle d'En Garriga, 63",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/4c/99/583420554.jpg,https://www.idealista.com/inmueble/81737915/,"['Plaza para moto', '60 m²', 'Cubierta', ' Puerta automática de garaje ']"
2090,"calle d'esteve pila, 12",es,sedanCar,garage,12876,Parc Central - Colomer,False,,,False,False,False,False,False,41.4743866,2.075036,Sant Cugat del Vallès,,False,,3,rent,75.0,7.0,34262539,garage,Barcelona,True,"Parc Central - Colomer, Sant Cugat del Vallès","Garaje en calle d'esteve pila, 12",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/92/0d/89/198558286.jpg,https://www.idealista.com/inmueble/34262539/,"['Plaza para coche grande', '11 m²', 'Cubierta', ' Puerta automática de garaje ']"
2091,"via Augusta, 261",es,carAndMotorcycle,garage,3716,Sarrià-Sant Gervasi,False,,,False,False,True,False,False,41.3975349,2.1320395,Barcelona,Les Tres Torres,False,,3,rent,85.0,,81607743,garage,Barcelona,True,"Les Tres Torres, Barcelona","Garaje en via Augusta, 261",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/62/9c/15/580522785.jpg,https://www.idealista.com/inmueble/81607743/,"['Plaza para coche y moto', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ', ' Alarma ', ' Cámaras de seguridad ', ' Personal de seguridad ']"
2092,"rambla de Can Móra, 10",es,motorcycle,garage,12006,Centre - Estació,False,,,False,False,True,False,False,41.4685445,2.0819926,Sant Cugat del Vallès,,False,,1,rent,50.0,,81582292,garage,Barcelona,True,"Centre - Estació, Sant Cugat del Vallès","Garaje en rambla de Can Móra, 10",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/40/70/579651178.jpg,https://www.idealista.com/inmueble/81582292/,"['Plaza para moto', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ']"
2093,calle d'Urgell s/n SN,es,sedanCar,garage,8496,La Gavarra,False,,,False,False,False,False,False,41.3584182,2.0779824,Cornellà de Llobregat,,False,,3,rent,70.0,,36633148,garage,Barcelona,True,"La Gavarra, Cornellà de Llobregat",Garaje en calle d'Urgell s/n SN,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/11/d6/4c/201228113.jpg,https://www.idealista.com/inmueble/36633148/,[]
2094,"rambla de Can Móra, 10",es,compactCar,garage,12006,Centre - Estació,False,,,False,False,False,False,False,41.4685445,2.0819926,Sant Cugat del Vallès,,False,,2,rent,100.0,,81470965,garage,Barcelona,True,"Centre - Estació, Sant Cugat del Vallès","Garaje en rambla de Can Móra, 10",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/27/77/577551988.jpg,https://www.idealista.com/inmueble/81470965/,"['Plaza para coche pequeño', 'Cubierta', ' Puerta automática de garaje ']"
2095,"calle de Josep de Peray, 14",es,sedanCar,garage,13511,Can Matas,False,,,False,False,False,False,False,41.4767499,2.0669791,Sant Cugat del Vallès,,False,,3,rent,65.0,6.0,81459329,garage,Barcelona,True,"Can Matas, Sant Cugat del Vallès","Garaje en calle de Josep de Peray, 14",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/bf/ed/a4/577348351.jpg,https://www.idealista.com/inmueble/81459329/,"['Plaza para coche grande', '11,5 m²', 'Cubierta', ' Puerta automática de garaje ', ' Cámaras de seguridad ']"
2096,barrio Can Peguera - El Turó de la Peira,es,compactCar,garage,5421,Nou Barris,False,7132,,False,False,False,False,False,41.43334,2.16394,Barcelona,Can Peguera - El Turó de la Peira,False,,3,rent,60.0,7.0,32163752,garage,Barcelona,False,"Can Peguera - El Turó de la Peira, Barcelona",Garaje,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9b/fb/f6/127562660.jpg,https://www.idealista.com/inmueble/32163752/,[]
2097,"calle del Francolí, 74",es,motorcycle,garage,3082,Sarrià-Sant Gervasi,False,,,False,False,True,False,False,41.40286029999999,2.1450215,Barcelona,El Putxet i el Farró,False,,1,rent,40.0,,81354997,garage,Barcelona,True,"El Putxet i el Farró, Barcelona","Garaje en calle del Francolí, 74",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f1/0e/54/575294116.jpg,https://www.idealista.com/inmueble/81354997/,"['Plaza para moto', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ']"
